api,sample,control,repeat,seconds,percent
36,jetchat,raw,1,-7.112430123961531,-68.00826322346045
36,jetchat,raw,2,-6.904755748808384,-68.43744593298975
36,jetchat,raw,3,-6.965217707911506,-67.9300316223027
36,jetchat,raw,4,-6.867634290247224,-67.00236040386316
36,jetchat,raw,5,-7.242435873951763,-69.35695272244506
36,jetchat,raw,6,-6.435066541889682,-61.44079457021856
36,jetchat,raw,7,-6.802538666990586,-66.62392655830894
36,jetchat,raw,8,-7.0705027100630105,-68.60130601505061
36,jetchat,raw,9,-6.845704376115464,-66.0087224791631
36,jetchat,raw,10,-6.952904710080475,-67.32198637219182
36,jetchat,baseline,1,-8.463361291913316,-71.66803191030921
36,jetchat,baseline,2,-8.762948166928254,-73.34642924887498
36,jetchat,baseline,3,-8.534393584006466,-72.1865422963593
36,jetchat,baseline,4,-8.824859749991447,-72.29305242764056
36,jetchat,baseline,5,-8.67759912495967,-73.05958761627254
36,jetchat,baseline,6,-7.867030875058845,-66.07857393655782
36,jetchat,baseline,7,-8.505961667047814,-71.39601283696338
36,jetchat,baseline,8,-8.666501709027216,-72.8114819263302
36,jetchat,baseline,9,-8.345329499919899,-70.30289949743482
36,jetchat,baseline,10,-8.616293749888428,-71.85498838565742
36,jetnews,raw,1,-6.62022837495897,-64.404708357592
36,jetnews,raw,2,-6.834679250023328,-65.15305567828487
36,jetnews,raw,3,-7.26299787487369,-66.84887059176936
36,jetnews,raw,4,-6.72554337407928,-64.85379685370567
36,jetnews,raw,5,-6.714084666105919,-64.62551732410317
36,jetnews,raw,7,-5.221447792020626,-60.4373395855774
36,jetnews,raw,8,-6.207386580994353,-60.88286058761935
36,jetnews,raw,9,-6.500803417060524,-64.31686609608083
36,jetnews,raw,10,-5.647942666895688,-55.44421434245359
36,jetnews,baseline,1,-8.484641833114438,-69.86970883604748
36,jetnews,baseline,2,-8.460265500005335,-69.82850634350622
36,jetnews,baseline,3,-8.701945916865952,-70.7259609100229
36,jetnews,baseline,4,-8.254874915932305,-69.37075409399552
36,jetnews,baseline,5,-8.300046875025146,-69.3104239805194
36,jetnews,baseline,7,-8.1255560410209,-70.39045316222257
36,jetnews,baseline,8,-7.79434174997732,-66.15141461525701
36,jetnews,baseline,9,-8.05562691600062,-69.07416435913247
36,jetnews,baseline,10,-7.061638249899261,-60.87405072248884
36,jetsnack,raw,1,-4.3916272080969065,-57.68610429051532
36,jetsnack,raw,2,-4.533560124924406,-57.1671349257741
36,jetsnack,raw,3,-3.4613147909985855,-45.44286083045965
36,jetsnack,raw,4,-3.6495978750754148,-48.12523083544335
36,jetsnack,raw,5,-3.7035189589951187,-48.89587745309565
36,jetsnack,raw,6,-3.243773792171851,-43.055517321896005
36,jetsnack,raw,7,-3.709067126037553,-47.91395287141588
36,jetsnack,raw,8,-44.637754625990056,-93.23605074043716
36,jetsnack,raw,9,-3.4546334149781615,-44.650848045056534
36,jetsnack,raw,10,-4.176276458078064,-55.05903614445224
36,jetsnack,baseline,1,-4.8658897910499945,-60.1675330450929
36,jetsnack,baseline,2,-4.796109376009554,-58.53975300870042
36,jetsnack,baseline,3,-4.32399400009308,-50.99332306792763
36,jetsnack,baseline,4,-4.262207083054818,-52.0025330160273
36,jetsnack,baseline,5,-4.500896124984138,-53.76339377044511
36,jetsnack,baseline,6,-4.468354541924782,-51.01726973150888
36,jetsnack,baseline,7,-4.269756790949032,-51.431761513476324
36,jetsnack,baseline,8,-5.186556959059089,-61.5624577704627
36,jetsnack,baseline,9,-3.842377374996431,-47.29232394027411
36,jetsnack,baseline,10,-4.730186542030424,-58.11755172203634
37,jetchat,raw,1,-6.853276041918434,-69.51554600919266
37,jetchat,raw,2,-6.874575249967165,-68.96497375883513
37,jetchat,raw,3,-6.905786667019129,-69.52005890069235
37,jetchat,raw,4,-6.838291793130338,-69.47851772141094
37,jetchat,raw,6,-6.890009334078059,-68.816549471264
37,jetchat,raw,7,-6.094071416766383,-60.1582990905152
37,jetchat,raw,8,-7.046930623007938,-70.71136627725691
37,jetchat,raw,10,-6.643979415879585,-67.03024516222196
37,jetchat,baseline,1,-8.447154041961767,-73.75815623969291
37,jetchat,baseline,2,-8.331574708106928,-72.92271352959573
37,jetchat,baseline,3,-8.61942145798821,-74.00454487089046
37,jetchat,baseline,4,-8.580532626016065,-74.06874904565814
37,jetchat,baseline,6,-8.420001624966972,-72.95013912024784
37,jetchat,baseline,7,-7.685901957913302,-65.56879490420063
37,jetchat,baseline,8,-8.52280395803973,-74.48934818955638
37,jetchat,baseline,10,-8.159993416862562,-71.40397025136706
37,jetnews,raw,1,-6.983412208035588,-68.00720486704368
37,jetnews,raw,2,-6.850849041948095,-67.06666991044317
37,jetnews,raw,3,-6.744958000956103,-67.36202536847684
37,jetnews,raw,4,-6.6898344160290435,-67.17213048936803
37,jetnews,raw,5,-6.878176748985425,-68.06132476166833
