api,sample,control,repeat,seconds,percent
36,jetchat,raw,1,-4.93192433391232,-41.80970781801003
36,jetchat,raw,2,-3.772228208021261,-27.32775918678265
36,jetchat,raw,3,-4.653770126169547,-32.512045006198285
36,jetchat,raw,4,1.5606053329538554,11.194065761264849
36,jetchat,raw,5,-7.406084790825844,-51.397746853887746
36,jetchat,raw,6,-2.6759316249517724,-25.12888714591588
36,jetchat,raw,7,-4.3257030008826405,-40.499623123683946
36,jetchat,raw,8,-4.605862082797103,-43.195450357524265
36,jetchat,raw,9,-3.678445043042302,-34.44975735424172
36,jetchat,raw,10,-3.846852122922428,-36.32859646218952
36,jetchat,baseline,1,-5.5705257499357685,-44.79814594981584
36,jetchat,baseline,2,-2.3945725420489907,-19.270671576646826
36,jetchat,baseline,3,-6.671984167071059,-40.851712887172894
36,jetchat,baseline,4,0.6415429159533232,4.31712351114395
36,jetchat,baseline,6,-4.468191458960064,-35.91480112042158
36,jetchat,baseline,7,-6.456093291984871,-50.39398515697188
36,jetchat,baseline,8,-6.274454749887809,-50.88179563355062
36,jetchat,baseline,9,-5.1872682919492945,-42.5655792555933
36,jetchat,baseline,10,-5.611225957982242,-45.422446717682575
36,jetnews,raw,1,-4.180272710276768,-36.8112172918342
36,jetnews,raw,2,-2.899724957998842,-27.03526093083053
36,jetnews,raw,3,-3.9750601259293035,-35.40836330635181
36,jetnews,raw,4,-3.3209615409141406,-31.1072098748842
36,jetnews,raw,5,-3.559375708922744,-33.02870913862409
36,jetnews,raw,6,-3.5033338747452945,-32.30361118776032
36,jetnews,raw,7,-2.807257834239863,-26.245876490073538
36,jetnews,raw,8,-3.7416250420501456,-33.643629837505195
36,jetnews,raw,9,-3.5812561658676714,-33.46863959387261
36,jetnews,raw,10,-3.628122041001916,-32.97789327014784
36,jetnews,baseline,1,-5.432831458980218,-43.08852620485082
36,jetnews,baseline,2,-4.534783707931638,-36.68689280142663
36,jetnews,baseline,3,-5.11899445799645,-41.38144373684424
36,jetnews,baseline,4,-5.262045167037286,-41.706186336734994
36,jetnews,baseline,5,-5.065418125013821,-41.24042008909618
36,jetnews,baseline,6,-5.091583665926009,-40.95127638773881
36,jetnews,baseline,7,-4.493050166056491,-36.28757119679932
36,jetnews,baseline,8,-5.283767082961276,-41.72441566112948
